timeInstance, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
2443640, 0.020752, -0.016602, 0.918213, 2.134146, -1.036585, -0.182927, 33.047646
2445274, 0.023438, -0.020752, 0.919189, 2.256098, -1.097561, -0.243902, 33.188824
2446907, 0.014893, -0.015869, 0.918701, 2.012195, -1.219512, -0.121951, 33.141762
2448541, 0.021973, -0.015381, 0.915771, 2.195122, -1.097561, -0.121951, 33.188824
2450174, 0.014648, -0.019531, 0.918213, 2.317073, -1.158537, -0.243902, 33.141762
2451808, 0.014160, -0.014648, 0.915771, 2.134146, -1.158537, -0.182927, 33.094704
2453441, 0.023682, -0.017822, 0.922119, 2.378049, -1.219512, -0.304878, 33.141762
2455074, 0.017822, -0.016357, 0.912354, 2.195122, -1.158537, -0.304878, 33.094704
2456708, 0.015625, -0.015381, 0.917725, 2.134146, -1.158537, -0.060976, 33.141762
2458341, 0.022705, -0.017822, 0.913086, 2.134146, -1.097561, -0.243902, 33.188824
2459975, 0.024170, -0.014648, 0.921875, 2.134146, -1.219512, -0.365854, 33.141762
2461615, 0.014160, -0.014404, 0.918701, 2.134146, -1.158537, -0.365854, 33.141762
2463248, 0.021240, -0.016602, 0.912842, 2.378049, -0.975610, -0.365854, 33.188824
2464882, 0.021240, -0.016846, 0.916992, 2.317073, -1.219512, -0.304878, 33.141762
2466515, 0.021240, -0.017578, 0.911377, 2.317073, -0.975610, -0.182927, 33.094704
2468149, 0.009277, -0.015625, 0.916504, 2.073171, -1.036585, -0.060976, 33.235882
2469782, 0.021973, -0.014404, 0.912354, 2.195122, -1.097561, -0.243902, 33.094704
2471416, 0.013672, -0.015625, 0.914307, 2.317073, -1.158537, -0.365854, 33.094704
2473049, 0.023438, -0.017578, 0.917480, 2.134146, -1.097561, -0.121951, 33.188824
2474682, 0.022461, -0.018555, 0.909668, 1.951220, -0.975610, -0.365854, 33.047646
2476316, 0.014160, -0.013916, 0.911621, 2.256098, -1.158537, -0.182927, 33.094704
2477949, 0.020020, -0.013672, 0.910156, 2.317073, -1.158537, -0.182927, 33.047646
2479583, 0.017334, -0.017334, 0.907959, 2.195122, -1.036585, -0.365854, 33.094704
2481216, 0.017822, -0.009521, 0.906738, 2.134146, -0.914634, -0.121951, 33.047646
2482849, 0.019775, -0.014648, 0.928955, 2.317073, -1.158537, -0.182927, 33.094704
2484483, 0.018799, -0.013672, 0.912842, 2.195122, -1.280488, -0.243902, 33.141762
2486117, 0.018555, -0.020996, 0.916748, 2.073171, -0.975610, -0.304878, 33.188824
2487751, 0.015625, -0.013428, 0.921875, 2.256098, -1.036585, -0.426829, 33.141762
2489384, 0.018066, -0.014648, 0.919922, 2.256098, -1.219512, -0.060976, 33.188824
2491007, 0.019287, -0.016846, 0.908203, 2.195122, -1.097561, -0.060976, 33.094704
2492641, 0.017822, -0.009277, 0.908936, 2.256098, -1.097561, -0.121951, 33.141762
2494274, 0.022461, -0.013184, 0.910645, 2.073171, -1.097561, -0.182927, 33.094704
2495908, 0.020996, -0.019043, 0.912354, 2.073171, -0.853659, -0.487805, 33.141762
2497541, 0.018066, -0.016357, 0.907715, 2.256098, -1.036585, -0.365854, 33.094704
2499174, 0.021484, -0.019531, 0.907471, 2.134146, -1.097561, -0.304878, 33.141762
2500808, 0.019775, -0.015381, 0.915771, 2.073171, -1.219512, -0.060976, 33.094704
2502441, 0.026123, -0.012695, 0.922607, 2.195122, -1.280488, -0.121951, 33.094704
2504075, 0.021973, -0.019531, 0.916504, 2.256098, -1.097561, -0.182927, 33.094704
2505708, 0.021729, -0.017090, 0.916260, 2.134146, -0.975610, -0.243902, 33.047646
2507341, 0.017334, -0.020508, 0.908936, 2.134146, -1.036585, -0.182927, 33.188824
2508975, 0.017334, -0.009766, 0.919678, 2.256098, -1.036585, -0.304878, 33.047646
2510615, 0.023193, -0.013916, 0.916260, 2.012195, -1.280488, -0.426829, 33.000587
2512248, 0.016113, -0.015625, 0.914795, 2.073171, -1.097561, -0.304878, 33.047646
2513882, 0.014893, -0.019531, 0.910400, 2.256098, -0.975610, -0.243902, 33.094704
2515516, 0.020996, -0.014893, 0.915283, 2.073171, -1.097561, -0.243902, 33.047646
2517149, 0.014893, -0.017822, 0.911133, 2.073171, -1.036585, -0.060976, 33.094704
2518782, 0.023438, -0.018311, 0.915771, 2.256098, -1.280488, -0.182927, 33.141762
2520416, 0.019531, -0.021484, 0.921875, 2.317073, -1.158537, 0.000000, 33.094704
2522049, 0.021484, -0.015869, 0.914307, 2.134146, -0.975610, -0.121951, 33.188824
2523683, 0.020264, -0.012695, 0.908936, 2.195122, -1.158537, -0.121951, 33.047646
2525316, 0.016113, -0.016602, 0.919189, 2.195122, -1.036585, -0.060976, 33.188824
2526949, 0.023193, -0.013428, 0.922119, 2.134146, -1.097561, -0.060976, 33.235882
2528583, 0.018311, -0.020020, 0.913818, 2.378049, -1.158537, -0.121951, 33.094704
2530216, 0.022949, -0.019531, 0.915771, 2.195122, -0.975610, -0.182927, 33.141762
2531850, 0.026611, -0.020996, 0.922363, 2.256098, -1.036585, -0.365854, 33.188824
2533483, 0.018799, -0.018066, 0.922852, 2.073171, -0.914634, -0.182927, 33.047646
2535117, 0.022217, -0.026123, 0.917969, 2.134146, -1.219512, -0.121951, 33.188824
2536751, 0.020508, -0.011963, 0.916016, 2.134146, -1.280488, -0.304878, 33.047646
2538384, 0.023682, -0.012939, 0.910156, 2.073171, -1.036585, -0.304878, 33.094704
2540007, 0.020020, -0.010742, 0.912354, 2.195122, -0.975610, -0.060976, 33.047646
2541641, 0.020752, -0.015625, 0.915771, 2.134146, -0.914634, -0.121951, 33.188824
2543274, 0.020752, -0.018066, 0.909424, 2.195122, -1.158537, -0.121951, 33.141762
2544908, 0.018799, -0.015869, 0.913330, 2.317073, -1.036585, -0.121951, 33.188824
2546541, 0.022217, -0.013672, 0.918701, 2.195122, -1.219512, -0.121951, 33.141762
2548174, 0.022705, -0.012207, 0.915771, 2.256098, -0.853659, -0.243902, 33.094704
2549808, 0.024170, -0.019043, 0.914551, 2.195122, -1.158537, -0.060976, 33.047646
2551441, 0.025391, -0.015625, 0.905762, 2.073171, -1.097561, -0.243902, 33.094704
2553075, 0.019775, -0.015137, 0.921631, 2.134146, -1.158537, -0.121951, 33.094704
2554708, 0.022217, -0.016113, 0.913818, 2.134146, -1.280488, -0.182927, 33.047646
2556341, 0.024658, -0.021729, 0.916260, 2.134146, -1.219512, -0.243902, 33.094704
2557975, 0.020264, -0.013916, 0.905273, 2.134146, -1.158537, -0.243902, 33.047646
2559615, 0.015869, -0.017334, 0.918945, 2.012195, -1.158537, -0.365854, 33.094704
2561248, 0.016846, -0.018066, 0.908203, 2.195122, -1.280488, -0.304878, 33.141762
2562882, 0.017578, -0.016602, 0.918945, 2.195122, -0.975610, -0.121951, 33.094704
2564516, 0.023682, -0.018066, 0.913086, 1.951220, -0.975610, -0.121951, 33.141762
2566149, 0.021973, -0.016846, 0.921875, 2.134146, -1.158537, -0.243902, 33.094704
2567782, 0.020996, -0.012451, 0.917480, 2.317073, -1.158537, -0.243902, 33.047646
2569416, 0.011230, -0.014893, 0.914551, 2.317073, -1.097561, -0.304878, 33.094704
2571049, 0.021484, -0.019043, 0.920166, 2.012195, -0.975610, -0.304878, 33.235882
2572683, 0.023682, -0.013428, 0.917480, 2.195122, -1.097561, -0.365854, 33.094704
2574316, 0.023438, -0.017578, 0.921631, 2.134146, -0.975610, -0.182927, 33.141762
2575949, 0.019775, -0.014404, 0.920654, 2.195122, -1.158537, -0.304878, 33.094704
2577583, 0.020508, -0.010986, 0.916748, 2.073171, -1.219512, -0.182927, 33.141762
2579216, 0.017334, -0.010254, 0.903809, 2.256098, -0.975610, -0.060976, 33.047646
2580850, 0.019287, -0.015381, 0.920654, 2.134146, -0.914634, -0.243902, 33.094704
2582483, 0.023193, -0.016357, 0.908203, 2.439024, -1.036585, -0.243902, 33.094704
2584117, 0.021484, -0.016602, 0.920166, 2.195122, -1.158537, -0.121951, 33.094704
2585751, 0.019287, -0.016846, 0.902100, 1.951220, -1.158537, -0.243902, 33.141762
2587384, 0.022461, -0.014160, 0.907471, 2.134146, -1.341463, -0.304878, 33.094704
2589007, 0.022949, -0.013428, 0.922363, 2.256098, -1.036585, 0.000000, 33.047646
2590641, 0.020752, -0.020020, 0.910400, 2.195122, -1.036585, -0.182927, 33.094704
2592274, 0.023438, -0.016602, 0.910889, 2.134146, -0.914634, 0.000000, 33.141762
2593908, 0.017334, -0.011719, 0.908691, 2.256098, -1.036585, -0.304878, 33.188824
2595541, 0.021240, -0.015381, 0.910645, 2.134146, -1.097561, -0.304878, 33.141762
2597174, 0.017578, -0.018555, 0.918945, 2.073171, -1.036585, -0.182927, 33.094704
2598808, 0.021240, -0.019287, 0.910889, 2.134146, -1.036585, -0.304878, 33.141762
2600441, 0.017578, -0.021729, 0.918701, 2.317073, -1.036585, -0.243902, 33.094704
2602075, 0.017090, -0.009766, 0.919678, 2.256098, -1.219512, -0.182927, 33.047646
2603708, 0.020996, -0.016846, 0.906494, 2.073171, -1.097561, -0.182927, 33.094704
2605341, 0.023926, -0.020264, 0.915771, 2.256098, -1.158537, -0.365854, 33.141762
2606975, 0.014648, -0.020508, 0.909668, 2.256098, -0.975610, -0.365854, 33.094704
2608615, 0.021484, -0.025391, 0.916260, 2.134146, -0.975610, -0.182927, 33.094704
2610248, 0.014893, -0.021729, 0.916748, 2.134146, -1.219512, -0.182927, 33.141762
2611882, 0.012939, -0.010742, 0.910400, 2.195122, -1.158537, -0.243902, 33.188824
2613516, 0.024170, -0.012695, 0.913818, 2.195122, -1.036585, -0.243902, 33.094704
2615149, 0.016357, -0.018799, 0.912598, 2.317073, -1.097561, -0.365854, 33.094704
2616782, 0.013672, -0.013672, 0.913086, 2.195122, -1.158537, -0.182927, 33.047646
2618416, 0.013428, -0.013916, 0.911865, 2.073171, -1.219512, -0.121951, 33.094704
2620049, 0.021484, -0.012695, 0.915283, 2.134146, -1.097561, -0.304878, 33.141762
2621683, 0.016846, -0.017090, 0.922363, 2.317073, -1.280488, -0.365854, 33.094704
2623316, 0.018066, -0.014893, 0.911865, 2.134146, -1.097561, -0.243902, 33.141762
2624949, 0.020508, -0.019287, 0.918457, 2.073171, -0.914634, -0.365854, 33.094704
2626583, 0.026611, -0.015137, 0.917725, 2.256098, -1.036585, -0.060976, 33.141762
2628216, 0.020264, -0.014404, 0.914795, 2.195122, -0.914634, -0.304878, 33.094704
2629850, 0.018311, -0.019287, 0.913086, 1.951220, -1.158537, -0.304878, 33.047646
2631483, 0.015137, -0.019531, 0.917725, 2.195122, -1.036585, -0.060976, 33.094704
2633117, 0.021484, -0.020996, 0.915039, 2.195122, -1.158537, -0.365854, 33.047646
2634751, 0.018066, -0.017334, 0.907959, 2.195122, -1.280488, -0.365854, 33.094704
2636384, 0.014648, -0.017090, 0.916016, 2.195122, -1.036585, -0.121951, 33.141762
2638007, 0.017334, -0.016846, 0.911133, 2.378049, -0.975610, -0.121951, 33.141762
2639641, 0.019043, -0.014160, 0.918213, 2.256098, -0.975610, -0.365854, 33.094704
2641274, 0.012695, -0.015137, 0.911377, 2.195122, -1.280488, -0.304878, 33.047646
2642908, 0.021973, -0.015625, 0.910156, 2.134146, -1.219512, -0.304878, 33.188824
2644541, 0.022461, -0.017578, 0.912354, 2.134146, -1.036585, -0.243902, 33.094704
2646174, 0.022461, -0.011475, 0.921387, 2.073171, -1.036585, -0.243902, 33.094704
2647808, 0.019043, -0.012207, 0.919678, 2.317073, -0.853659, -0.182927, 33.047646
2649441, 0.021484, -0.018311, 0.912598, 2.073171, -1.219512, -0.182927, 33.094704
2651075, 0.018311, -0.010742, 0.909912, 2.134146, -1.097561, -0.365854, 33.141762
2652708, 0.018066, -0.015137, 0.910645, 2.073171, -1.280488, -0.243902, 33.188824
2654341, 0.018311, -0.015869, 0.916260, 2.073171, -0.792683, -0.060976, 33.047646
2655975, 0.023438, -0.017822, 0.909912, 2.195122, -0.975610, -0.121951, 33.188824
2657615, 0.012451, -0.015381, 0.912842, 2.317073, -1.158537, -0.060976, 33.235882
2659248, 0.016357, -0.017822, 0.916748, 2.256098, -1.219512, -0.243902, 33.094704
2660882, 0.021240, -0.018799, 0.910156, 2.134146, -0.914634, -0.243902, 33.141762
2662516, 0.019775, -0.020752, 0.912354, 2.134146, -1.158537, -0.182927, 33.094704
2664149, 0.018555, -0.014648, 0.916748, 2.134146, -1.036585, -0.426829, 33.141762
2665782, 0.018066, -0.020752, 0.914551, 2.256098, -1.036585, -0.243902, 33.188824
2667416, 0.020508, -0.016846, 0.910400, 1.951220, -1.036585, -0.121951, 33.094704
2669049, 0.019531, -0.011230, 0.919434, 1.829268, -1.280488, -0.121951, 33.047646
2670683, 0.017334, -0.013672, 0.912598, 2.073171, -1.219512, -0.243902, 33.094704
2672316, 0.019775, -0.011719, 0.913574, 2.317073, -1.097561, -0.243902, 33.141762
2673949, 0.020264, -0.011963, 0.918945, 2.073171, -1.158537, -0.304878, 33.094704
2675583, 0.021973, -0.013672, 0.917236, 1.951220, -1.158537, -0.365854, 33.094704
2677216, 0.020264, -0.021240, 0.920654, 2.134146, -0.914634, -0.304878, 33.094704
2678850, 0.018066, -0.009766, 0.907227, 2.256098, -1.036585, -0.243902, 33.141762
2680483, 0.016846, -0.013916, 0.916504, 2.256098, -1.036585, -0.182927, 33.188824
2682117, 0.023926, -0.015625, 0.911865, 2.256098, -1.219512, -0.182927, 33.047646
2683751, 0.018066, -0.013672, 0.908936, 2.073171, -1.097561, 0.060976, 33.094704
2685384, 0.019775, -0.013428, 0.913574, 2.073171, -0.975610, -0.182927, 33.141762
2687007, 0.025879, -0.016357, 0.916016, 2.378049, -1.097561, 0.000000, 33.094704
2688641, 0.022461, -0.011963, 0.908691, 2.195122, -1.219512, -0.121951, 33.047646
2690274, 0.018799, -0.015137, 0.916504, 2.195122, -1.097561, -0.365854, 33.094704
2691908, 0.018311, -0.010986, 0.923828, 2.195122, -0.975610, -0.304878, 33.047646
2693541, 0.023926, -0.018555, 0.918213, 2.134146, -0.914634, -0.121951, 33.094704
2695174, 0.020264, -0.016846, 0.910400, 2.073171, -1.036585, -0.304878, 33.141762
2696808, 0.019531, -0.016113, 0.916504, 2.195122, -1.097561, -0.121951, 33.094704
2698441, 0.017578, -0.020508, 0.911865, 2.378049, -1.158537, -0.304878, 33.094704
2700075, 0.020264, -0.021240, 0.912598, 2.195122, -1.158537, -0.182927, 33.141762
2701708, 0.019287, -0.015625, 0.927246, 2.256098, -0.975610, -0.182927, 33.094704
2703341, 0.019531, -0.017334, 0.919434, 2.195122, -1.036585, -0.182927, 33.047646
2704975, 0.023438, -0.013428, 0.913086, 2.195122, -1.036585, -0.243902, 33.094704
2706615, 0.020020, -0.012695, 0.904053, 2.195122, -1.036585, -0.243902, 33.094704
2708248, 0.021729, -0.021729, 0.909668, 2.256098, -0.914634, -0.060976, 33.094704
