=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.06.19 19:11:05 =~=~=~=~=~=~=~=~=~=~=~=
timeInstance,gyroX,gyroY,gyroZ,accX,accY,accZ,temp
59508202,-4.878049,0.670732,-1.158537,0.038818,-0.001465,0.506592,31.635881
59509531,-4.817073,0.670732,-1.280488,0.040283,-0.003662,0.502930,31.635881
59510575,-4.756098,0.670732,-1.036585,0.038330,-0.003662,0.500732,31.682940
59511621,-4.939024,0.731707,-1.097561,0.034424,-0.005615,0.522705,31.588821
59512674,-4.939024,0.792683,-0.975610,0.037842,-0.005615,0.523193,31.682940
59513697,-4.939024,0.914634,-1.097561,0.030029,-0.003418,0.506104,31.635881
59514737,-4.817073,0.853659,-1.097561,0.029785,0.000244,0.516602,31.635881
59515763,-4.939024,0.731707,-1.097561,0.036621,-0.000977,0.503662,31.541763
59516807,-4.939024,0.731707,-0.975610,0.035889,-0.002197,0.507812,31.635881
59517944,-5.060976,0.792683,-0.914634,0.031738,-0.001953,0.516357,31.588821
59519005,-5.000000,0.609756,-0.975610,0.040527,-0.004883,0.514648,31.541763
59520042,-4.878049,0.670732,-1.158537,0.039551,-0.000488,0.512939,31.635881
59521077,-4.878049,0.792683,-1.158537,0.031494,-0.001953,0.520020,31.682940
59522112,-4.817073,0.670732,-0.914634,0.034668,-0.004639,0.513672,31.494705
59523145,-4.939024,0.426829,-0.975610,0.034668,-0.007812,0.518555,31.588821
59524243,-4.939024,0.548781,-1.158537,0.038330,-0.006348,0.520020,31.541763
59525306,-4.878049,0.792683,-1.036585,0.031738,-0.000732,0.509277,31.682940
59526348,-4.939024,0.731707,-0.975610,0.034424,-0.002441,0.513428,31.588821
59527396,-4.817073,0.609756,-1.036585,0.036621,-0.003906,0.507324,31.588821
59528444,-4.756098,0.731707,-0.914634,0.036865,-0.005371,0.511475,31.635881
59529497,-4.817073,0.792683,-1.036585,0.039062,-0.004639,0.502197,31.635881
59530603,-5.000000,0.609756,-0.914634,0.039307,-0.002930,0.507324,31.682940
59531684,-5.060976,0.670732,-0.792683,0.038086,-0.000977,0.510986,31.682940
59532711,-5.121951,0.853659,-1.097561,0.035889,-0.002686,0.514893,31.730000
59533751,-5.000000,0.853659,-1.036585,0.033447,-0.006592,0.510254,31.635881
59534772,-4.939024,0.731707,-0.975610,0.039307,-0.000488,0.514648,31.635881
59535814,-4.939024,0.609756,-0.975610,0.037598,-0.002197,0.516357,31.682940
59536839,-4.939024,0.609756,-1.036585,0.034912,-0.003418,0.512695,31.682940
59537899,-4.817073,0.609756,-1.097561,0.038330,0.000244,0.508789,31.494705
59538932,-4.817073,0.792683,-1.219512,0.039307,0.004639,0.508057,31.588821
59539971,-4.817073,0.853659,-1.219512,0.035400,0.001221,0.505371,31.588821
59541003,-4.817073,0.853659,-1.036585,0.038086,-0.002686,0.502686,31.635881
59542054,-5.000000,0.853659,-1.036585,0.032959,-0.000732,0.509521,31.588821
59543080,-4.939024,0.853659,-0.975610,0.037598,-0.000977,0.507812,31.588821
59544166,-4.878049,0.914634,-1.158537,0.040039,-0.002930,0.511963,31.682940
59545245,-5.000000,0.975610,-1.280488,0.041748,0.000244,0.511475,31.635881
59546288,-5.000000,0.670732,-1.097561,0.042725,-0.003418,0.510010,31.635881
59547325,-4.939024,0.548781,-1.219512,0.036865,-0.000244,0.507324,31.682940
59548359,-4.878049,0.670732,-0.975610,0.038086,0.000732,0.506592,31.682940
59549399,-4.756098,0.792683,-1.097561,0.039551,-0.000732,0.513428,31.588821
59550436,-4.756098,0.548781,-1.158537,0.037109,-0.001953,0.518555,31.541763
59551486,-4.939024,0.670732,-1.097561,0.039307,-0.000977,0.512451,31.635881
59552535,-5.060976,0.670732,-1.097561,0.036377,0.000488,0.507812,31.541763
59553627,-5.121951,0.731707,-0.975610,0.029785,-0.000488,0.505371,31.494705
59554694,-5.121951,0.792683,-0.914634,0.031250,-0.000488,0.510742,31.635881
59555737,-5.000000,0.670732,-1.036585,0.034912,-0.000488,0.507812,31.541763
59556835,-4.939024,0.670732,-1.097561,0.034668,-0.005371,0.508057,31.588821
59557882,-5.000000,0.670732,-1.158537,0.036377,-0.000977,0.508789,31.588821
59558937,-5.000000,0.731707,-1.097561,0.042969,-0.006592,0.511475,31.588821
59560000,-5.000000,0.792683,-1.036585,0.034912,-0.001221,0.515625,31.635881
59561049,-5.060976,0.792683,-0.853659,0.039062,-0.003662,0.511475,31.588821
59562144,-5.060976,0.670732,-0.975610,0.036865,-0.002930,0.513428,31.588821
59563198,-5.000000,0.670732,-1.097561,0.035645,-0.003662,0.515381,31.730000
59564239,-4.939024,0.853659,-0.975610,0.034668,0.000244,0.510010,31.635881
59565273,-4.878049,1.036585,-0.914634,0.041016,0.002686,0.516357,31.635881
59566309,-4.817073,0.792683,-1.097561,0.039307,0.000488,0.518799,31.682940
59567344,-4.756098,0.609756,-1.036585,0.038818,-0.000488,0.514648,31.588821
59568389,-4.817073,0.487805,-1.097561,0.037598,-0.000977,0.504395,31.588821
59569432,-4.878049,0.670732,-1.219512,0.037109,-0.004883,0.507080,31.541763
59570492,-5.000000,0.792683,-0.914634,0.036621,-0.002686,0.507568,31.541763
59571544,-5.060976,0.731707,-0.914634,0.033203,-0.001709,0.517090,31.494705
59572594,-5.060976,0.975610,-1.097561,0.031250,0.000732,0.509521,31.588821
59573645,-4.878049,0.731707,-1.097561,0.039551,0.000732,0.505127,31.588821
59574683,-4.817073,0.609756,-0.853659,0.035889,-0.003662,0.510254,31.541763
59575725,-4.878049,0.548781,-0.853659,0.032471,-0.010254,0.508545,31.635881
59576754,-5.060976,0.670732,-1.036585,0.034180,-0.000732,0.510986,31.635881
59577803,-5.000000,0.853659,-0.975610,0.033447,0.003174,0.504883,31.682940
59578826,-4.939024,0.731707,-1.097561,0.036133,-0.000977,0.507080,31.682940
59579864,-5.000000,0.609756,-1.158537,0.032227,-0.005127,0.516602,31.588821
59580892,-4.817073,0.731707,-0.975610,0.036133,-0.002197,0.517334,31.588821
59581933,-4.634146,0.670732,-1.219512,0.030029,-0.004639,0.515381,31.588821
59582984,-4.756098,0.609756,-1.158537,0.038086,-0.002197,0.504150,31.541763
59584026,-4.939024,0.670732,-1.158537,0.039062,-0.002930,0.508789,31.541763
59585117,-5.060976,0.609756,-1.219512,0.034180,-0.004639,0.516357,31.682940
59586182,-5.060976,0.609756,-0.975610,0.034668,-0.002197,0.508789,31.541763
59587244,-5.000000,0.609756,-1.036585,0.031250,-0.000488,0.506836,31.635881
59588295,-5.060976,0.670732,-1.158537,0.034180,0.001709,0.510254,31.588821
59589327,-5.060976,0.731707,-1.280488,0.032959,0.001221,0.510498,31.682940
59590362,-5.000000,0.914634,-1.036585,0.036621,-0.005371,0.510498,31.588821
59591409,-5.000000,1.097561,-0.975610,0.032227,0.000488,0.509277,31.682940
59592446,-4.939024,0.853659,-1.158537,0.036133,0.000488,0.510742,31.635881
59593491,-4.939024,0.731707,-1.036585,0.031250,-0.005127,0.505859,31.541763
59594547,-5.060976,0.670732,-0.914634,0.028076,0.001709,0.503174,31.588821
59595587,-5.000000,0.792683,-0.914634,0.028564,0.002197,0.512207,31.588821
59596635,-4.878049,0.853659,-1.036585,0.036621,-0.002441,0.511719,31.494705
59597682,-4.756098,0.792683,-0.975610,0.031494,0.001953,0.523193,31.541763
59598712,-4.695122,0.609756,-1.097561,0.032715,-0.000244,0.513672,31.635881
59599766,-4.817073,0.426829,-1.158537,0.036621,0.000488,0.515869,31.730000
59600797,-4.878049,0.609756,-1.036585,0.039062,0.001953,0.508301,31.682940
59601874,-4.817073,0.731707,-0.914634,0.038330,-0.004395,0.515381,31.588821
59602934,-4.878049,0.792683,-1.097561,0.032959,-0.004883,0.506104,31.588821
59603981,-4.878049,0.670732,-1.280488,0.033203,0.000244,0.519531,31.635881
59605020,-4.817073,0.548781,-1.219512,0.038330,-0.004150,0.508789,31.635881
59606050,-5.060976,0.548781,-0.975610,0.030518,0.001221,0.509521,31.588821
59607092,-5.182927,0.609756,-0.975610,0.036621,-0.003418,0.509521,31.682940
59608141,-5.121951,0.670732,-0.975610,0.035156,-0.000977,0.503174,31.588821
59609194,-4.939024,0.670732,-1.158537,0.034668,-0.000488,0.503174,31.541763
59610214,-4.817073,0.548781,-1.036585,0.034668,-0.004150,0.509521,31.635881
59611251,-4.817073,0.365854,-0.975610,0.041260,-0.001221,0.510742,31.635881
59612279,-4.878049,0.609756,-1.036585,0.039307,0.001465,0.512451,31.588821
59613312,-4.817073,0.853659,-0.975610,0.035889,-0.000732,0.511230,31.588821
59614329,-4.817073,0.792683,-1.036585,0.037842,-0.003418,0.513428,31.494705
59615364,-4.817073,0.731707,-1.158537,0.029053,0.002441,0.513184,31.588821
59616392,-4.817073,0.731707,-1.158537,0.032471,-0.004395,0.510254,31.682940
59617432,-4.817073,0.731707,-1.280488,0.031738,-0.000732,0.515869,31.541763
59618465,-5.000000,0.731707,-1.158537,0.034180,-0.003906,0.509033,31.541763
59619504,-4.939024,0.670732,-0.853659,0.038574,-0.003662,0.498535,31.541763
59620545,-4.817073,0.853659,-0.914634,0.037842,-0.000488,0.510254,31.588821
59621587,-4.817073,0.853659,-0.975610,0.035645,-0.004395,0.508057,31.588821
59622630,-4.878049,0.792683,-1.219512,0.034668,-0.004150,0.513184,31.588821
59623688,-4.939024,0.731707,-1.036585,0.034668,-0.000977,0.508789,31.541763
59624736,-4.817073,0.792683,-1.097561,0.036377,-0.005615,0.516357,31.635881
59625771,-4.817073,0.731707,-1.097561,0.033447,-0.005127,0.518066,31.541763
59626812,-4.878049,0.609756,-1.219512,0.029053,-0.002441,0.513672,31.494705
59627844,-5.000000,0.548781,-1.280488,0.036133,-0.002930,0.516113,31.682940
59628879,-5.060976,0.670732,-1.097561,0.042480,-0.005615,0.508057,31.588821
59629916,-4.756098,0.731707,-1.097561,0.035400,-0.001709,0.505859,31.682940
59630960,-4.695122,0.609756,-0.975610,0.031250,-0.002441,0.514893,31.635881
59632010,-4.756098,0.487805,-0.792683,0.032227,-0.006592,0.526123,31.541763
59633046,-4.817073,0.853659,-0.975610,0.034424,-0.005859,0.510498,31.588821
59634082,-4.939024,0.975610,-1.036585,0.035400,-0.005371,0.508301,31.588821
59635118,-4.939024,0.731707,-0.975610,0.039062,0.000000,0.509033,31.588821
59636213,-4.817073,0.609756,-0.914634,0.034912,0.002930,0.512939,31.541763
59637297,-4.817073,0.609756,-1.097561,0.033936,-0.000977,0.518799,31.494705
59638346,-4.756098,0.670732,-1.097561,0.031250,-0.002930,0.513428,31.494705
59639388,-4.939024,0.731707,-1.158537,0.031738,-0.000488,0.510742,31.682940
59640436,-4.817073,0.670732,-1.341463,0.033936,-0.003662,0.508301,31.635881
59641482,-4.817073,0.609756,-1.097561,0.032715,-0.002930,0.507812,31.635881
59642577,-5.000000,0.487805,-0.853659,0.034668,-0.004395,0.513672,31.588821
59643638,-5.000000,0.426829,-0.975610,0.036621,0.000977,0.520996,31.588821
59644680,-4.878049,0.609756,-0.914634,0.036133,0.000977,0.511230,31.635881
59645735,-4.756098,0.792683,-1.158537,0.037354,0.000977,0.505615,31.635881
59646759,-4.817073,0.792683,-0.914634,0.039307,0.000244,0.505615,31.541763
59647817,-4.817073,0.670732,-0.975610,0.036377,-0.000977,0.511475,31.588821
59648839,-4.817073,0.609756,-1.036585,0.033447,-0.000977,0.514648,31.588821
59649883,-5.000000,0.731707,-1.158537,0.032227,-0.004395,0.510010,31.588821
59650915,-5.121951,0.731707,-1.097561,0.031738,-0.000488,0.515137,31.588821
59651951,-4.878049,0.914634,-1.036585,0.038574,-0.000488,0.512207,31.635881
59652985,-4.756098,0.914634,-0.975610,0.036377,-0.001221,0.520020,31.541763
59654041,-4.817073,0.853659,-0.975610,0.038086,-0.005127,0.514160,31.588821
59655093,-4.939024,0.670732,-1.036585,0.037842,-0.001709,0.517822,31.588821
59656139,-4.939024,0.426829,-1.097561,0.036621,-0.001221,0.518066,31.588821
59657180,-4.939024,0.670732,-1.219512,0.034668,-0.000244,0.511963,31.541763
59658236,-5.000000,0.853659,-1.036585,0.033691,-0.004639,0.511963,31.635881
59659274,-5.060976,0.853659,-1.097561,0.038330,-0.003906,0.508545,31.682940
59660311,-5.182927,0.731707,-1.158537,0.036133,-0.006104,0.506836,31.588821
59661369,-5.060976,0.548781,-1.097561,0.031738,-0.003418,0.510986,31.588821
59662422,-5.060976,0.609756,-1.158537,0.029541,-0.002441,0.511719,31.635881
59663488,-5.000000,0.731707,-1.036585,0.036133,-0.004883,0.505615,31.635881
59664532,-4.878049,0.914634,-0.914634,0.035400,-0.003906,0.506348,31.588821
59665582,-4.817073,0.853659,-0.914634,0.031982,-0.004395,0.516357,31.682940
59666646,-4.756098,0.670732,-1.036585,0.030029,0.003174,0.518555,31.635881
59667682,-4.817073,0.731707,-1.097561,0.034424,0.001953,0.514893,31.635881
59668739,-4.939024,0.792683,-1.097561,0.035645,-0.001221,0.515625,31.635881
59669765,-4.817073,0.670732,-0.975610,0.036865,-0.005859,0.512695,31.588821
59670803,-4.817073,0.792683,-0.975610,0.036377,-0.005615,0.524658,31.588821
59671829,-4.939024,0.853659,-0.975610,0.040039,0.000977,0.517334,31.588821
59672865,-5.000000,0.670732,-0.975610,0.036865,0.000977,0.512207,31.588821
59673883,-5.000000,0.731707,-1.158537,0.036865,-0.001221,0.513672,31.588821
59674934,-5.000000,0.731707,-1.158537,0.031250,-0.005127,0.515625,31.541763
59675964,-4.878049,0.792683,-1.097561,0.030762,0.000488,0.516846,31.541763
59677002,-4.756098,0.609756,-0.914634,0.032959,0.006592,0.509277,31.635881
59678038,-5.000000,0.853659,-1.036585,0.034668,0.005127,0.511719,31.588821
59679091,-5.060976,0.914634,-0.975610,0.032959,0.000244,0.504639,31.588821
59680127,-4.939024,0.609756,-0.914634,0.033691,-0.002686,0.507080,31.588821
59681194,-4.878049,0.609756,-0.975610,0.039551,0.000977,0.512939,31.635881
59682233,-4.878049,0.670732,-0.853659,0.037842,-0.006104,0.511719,31.635881
59683287,-4.939024,0.670732,-1.158537,0.034668,-0.003662,0.509766,31.682940
59684345,-4.939024,0.731707,-1.219512,0.037842,-0.006592,0.509521,31.588821
59685403,-5.000000,0.670732,-1.219512,0.034424,-0.000977,0.513916,31.635881
59686447,-5.000000,0.792683,-1.036585,0.032227,-0.003906,0.510010,31.541763
59687493,-5.000000,0.792683,-1.097561,0.033691,0.001953,0.510986,31.635881
59688542,-4.817073,0.670732,-1.036585,0.038086,0.001465,0.508301,31.588821
59689585,-4.695122,0.731707,-0.914634,0.034668,-0.005127,0.517822,31.588821
59690635,-4.695122,0.731707,-1.036585,0.033691,-0.004150,0.511230,31.541763
59691673,-4.695122,0.609756,-1.097561,0.033447,-0.005615,0.510986,31.635881
59692717,-4.939024,0.853659,-1.219512,0.032959,-0.001953,0.512939,31.541763
59693743,-5.000000,0.914634,-0.975610,0.035156,-0.002441,0.515869,31.541763
59694789,-5.000000,0.731707,-1.097561,0.035889,-0.003662,0.517822,31.588821
59695811,-4.939024,0.609756,-1.036585,0.037598,0.000488,0.511230,31.588821
59696869,-4.817073,0.670732,-0.975610,0.033203,-0.001709,0.513916,31.588821
59697901,-4.756098,0.853659,-0.853659,0.036621,-0.004639,0.501465,31.588821
59698940,-5.000000,0.792683,-1.158537,0.035889,-0.003174,0.513428,31.635881
59699986,-4.817073,0.731707,-1.280488,0.037842,-0.002930,0.512207,31.635881
59701037,-4.573171,0.731707,-1.097561,0.035645,-0.006104,0.512695,31.588821
59702089,-4.634146,0.670732,-1.097561,0.039062,-0.007812,0.506104,31.588821
59703182,-4.939024,0.670732,-1.158537,0.036133,-0.005371,0.507812,31.635881
59704270,-5.060976,0.670732,-0.975610,0.034180,-0.001221,0.514404,31.494705
59705323,-5.060976,0.670732,-1.036585,0.034424,-0.002686,0.516846,31.588821
59706361,-4.939024,0.792683,-0.975610,0.035400,-0.002197,0.512939,31.588821
59707417,-4.817073,0.609756,-0.853659,0.034180,-0.002686,0.522217,31.730000
59708481,-4.695122,0.548781,-1.036585,0.034180,-0.001465,0.518555,31.541763
59709534,-4.878049,0.731707,-1.341463,0.041748,-0.002686,0.515869,31.588821
59710582,-5.060976,0.792683,-1.280488,0.039795,0.001709,0.510498,31.494705
59711633,-5.000000,0.670732,-1.158537,0.037598,-0.000244,0.515137,31.541763
59712673,-4.939024,0.487805,-1.219512,0.036133,-0.002686,0.517090,31.541763
59713705,-4.695122,0.487805,-1.097561,0.032959,-0.000977,0.520508,31.635881
59714736,-4.695122,0.609756,-1.036585,0.036133,0.000244,0.521240,31.541763
59715768,-4.817073,0.731707,-0.853659,0.036865,0.000000,0.511230,31.494705
59716789,-4.878049,0.914634,-0.914634,0.038818,-0.004150,0.511475,31.588821
59717827,-4.878049,0.670732,-1.036585,0.039062,0.000244,0.508789,31.588821
59718923,-4.817073,0.609756,-1.158537,0.031738,0.002197,0.520752,31.635881
59719987,-4.878049,0.487805,-0.914634,0.033691,-0.000244,0.509521,31.541763
59721023,-5.000000,0.487805,-1.036585,0.041260,0.001709,0.512207,31.682940
59722056,-4.817073,0.731707,-1.219512,0.041016,-0.002930,0.512207,31.588821
59723082,-4.817073,0.792683,-1.036585,0.034180,0.000488,0.510986,31.588821
59724126,-4.878049,0.792683,-0.975610,0.033203,0.003174,0.517090,31.635881
59725158,-4.878049,0.731707,-1.036585,0.034424,0.003174,0.518555,31.541763
59726193,-4.878049,0.731707,-0.914634,0.039795,0.000000,0.511475,31.635881
59727208,-4.939024,0.792683,-1.036585,0.035645,-0.011230,0.511719,31.635881
59728253,-5.060976,0.914634,-1.219512,0.039062,-0.001221,0.517090,31.682940
59729336,-5.060976,1.097561,-0.975610,0.040283,0.000488,0.511475,31.494705
59730420,-4.878049,0.853659,-1.097561,0.033691,0.000244,0.508057,31.635881
59731475,-4.939024,0.853659,-1.097561,0.036377,-0.002930,0.514648,31.541763
59732525,-5.060976,0.731707,-1.036585,0.034180,-0.003418,0.510742,31.682940
59733571,-4.939024,0.670732,-1.036585,0.038818,-0.004883,0.511230,31.682940
59734621,-4.939024,0.731707,-1.097561,0.039551,-0.003418,0.509277,31.541763
59735668,-4.939024,0.792683,-1.036585,0.037842,-0.003174,0.508301,31.541763
59736705,-4.878049,0.731707,-0.975610,0.037354,-0.006348,0.513184,31.635881
59737736,-4.878049,0.609756,-0.975610,0.034668,-0.009521,0.519287,31.541763
59738787,-4.878049,0.731707,-1.097561,0.033447,-0.007324,0.508301,31.494705
59739819,-4.817073,0.609756,-1.097561,0.032959,-0.000488,0.510742,31.588821
59740851,-4.756098,0.609756,-1.036585,0.033936,-0.001953,0.513916,31.682940
59741886,-4.817073,0.548781,-1.036585,0.039062,-0.003418,0.513184,31.682940
59742967,-5.000000,0.670732,-1.036585,0.035889,0.000488,0.512695,31.635881
59744040,-4.878049,0.670732,-1.036585,0.035889,-0.004395,0.513672,31.588821
59745089,-4.878049,0.731707,-1.036585,0.031006,0.000000,0.511475,31.682940
59746113,-4.939024,0.853659,-1.097561,0.034180,-0.002686,0.510742,31.635881
59747157,-5.000000,1.158537,-1.158537,0.032715,-0.004883,0.508545,31.635881
59748181,-5.000000,0.975610,-1.158537,0.036865,-0.003418,0.512939,31.635881
59749209,-4.939024,0.670732,-1.158537,0.036133,-0.006104,0.508789,31.635881
59750234,-5.060976,0.487805,-1.097561,0.029541,-0.001709,0.505615,31.541763
59751263,-5.060976,0.670732,-0.914634,0.029785,-0.002441,0.509521,31.682940
59752302,-5.000000,0.792683,-0.792683,0.031006,-0.000732,0.517090,31.588821
59753323,-4.878049,0.914634,-0.975610,0.035645,-0.000732,0.510498,31.588821
59754344,-4.817073,0.792683,-1.036585,0.036377,-0.004639,0.505615,31.588821
59755382,-4.817073,0.792683,-1.036585,0.039062,-0.001709,0.508789,31.635881
59756468,-4.939024,0.792683,-1.036585,0.037109,-0.005371,0.516846,31.635881
59757545,-4.878049,0.609756,-1.036585,0.034180,-0.007812,0.511475,31.682940
59758636,-4.878049,0.609756,-1.158537,0.030518,-0.000732,0.510254,31.635881
59759694,-4.939024,0.609756,-1.097561,0.037109,-0.003418,0.508789,31.541763
59760728,-5.000000,0.609756,-0.792683,0.037354,-0.002197,0.505615,31.541763
59761762,-4.939024,0.792683,-0.975610,0.036865,0.000488,0.502930,31.588821
59762788,-4.939024,0.853659,-1.036585,0.036865,-0.003906,0.520508,31.588821
59763825,-4.878049,0.609756,-1.158537,0.039307,0.000732,0.520752,31.682940
59764847,-4.939024,0.487805,-1.280488,0.037354,0.000244,0.517090,31.588821
59765884,-4.939024,0.731707,-0.975610,0.035156,-0.006348,0.516846,31.588821
59766917,-4.939024,0.670732,-0.853659,0.034424,-0.004395,0.510986,31.635881
59767958,-4.817073,0.609756,-1.097561,0.035889,-0.003906,0.510498,31.541763
59768993,-4.817073,0.670732,-1.097561,0.036377,-0.000732,0.508789,31.588821
59770035,-4.939024,0.670732,-0.975610,0.038086,-0.001465,0.509033,31.682940
59771078,-5.000000,0.792683,-1.097561,0.035156,0.000732,0.520508,31.588821
59772110,-4.878049,0.670732,-1.097561,0.030273,-0.004150,0.518799,31.635881
59773145,-4.878049,0.670732,-1.097561,0.035889,0.004150,0.520020,31.635881
59774180,-5.121951,0.792683,-0.914634,0.040771,-0.000488,0.518311,31.541763
59775209,-5.000000,0.670732,-1.097561,0.034668,-0.000732,0.508545,31.541763
59776232,-5.000000,0.609756,-1.097561,0.039062,-0.000977,0.510254,31.588821
59777304,-4.939024,0.487805,-1.219512,0.038086,-0.003662,0.506104,31.588821
59778361,-5.000000,0.487805,-1.036585,0.038818,-0.004639,0.512207,31.541763
59779402,-4.939024,0.670732,-0.792683,0.038086,-0.004639,0.512695,31.635881
59780449,-4.817073,0.853659,-0.792683,0.034180,-0.002930,0.509277,31.541763
59781483,-4.756098,0.792683,-1.036585,0.029785,-0.001953,0.518799,31.588821
59782529,-4.756098,0.792683,-1.097561,0.038574,-0.005371,0.510986,31.588821
59783569,-4.817073,0.792683,-1.219512,0.037598,-0.000977,0.514648,31.588821
59784632,-4.939024,0.731707,-1.219512,0.038574,-0.000977,0.515625,31.635881
59785676,-5.060976,0.731707,-1.280488,0.041748,-0.001953,0.514160,31.541763
59786713,-4.939024,0.670732,-1.036585,0.036621,-0.000488,0.513428,31.635881
59787748,-4.939024,0.853659,-1.158537,0.035645,-0.002930,0.503906,31.588821
59788781,-4.878049,0.792683,-1.097561,0.035400,-0.002930,0.510010,31.682940
59789808,-4.939024,0.731707,-0.975610,0.032715,0.002441,0.512451,31.588821
59790839,-5.000000,0.487805,-1.097561,0.033936,0.000000,0.514893,31.588821
59791846,-4.939024,0.548781,-1.402439,0.037842,0.000000,0.517822,31.682940
59792867,-4.878049,0.731707,-1.097561,0.043945,0.000488,0.518311,31.588821
59793902,-4.817073,0.670732,-0.792683,0.033447,0.002197,0.516602,31.635881
59794940,-4.695122,0.731707,-0.914634,0.035645,-0.001221,0.512207,31.635881
59795969,-4.756098,0.853659,-0.914634,0.036621,-0.003906,0.511963,31.541763
59797007,-4.878049,0.731707,-0.975610,0.036865,-0.001221,0.510254,31.682940
59798036,-4.756098,0.609756,-1.158537,0.036865,-0.001465,0.507080,31.588821
59799072,-4.878049,0.548781,-1.341463,0.040039,-0.001709,0.508301,31.588821
59800106,-4.939024,0.609756,-1.036585,0.038330,-0.002930,0.508301,31.635881
59801161,-4.878049,0.670732,-1.097561,0.033936,-0.003906,0.510010,31.635881
59802207,-4.817073,0.731707,-1.036585,0.033447,0.000000,0.512939,31.541763
59803227,-4.817073,0.731707,-0.853659,0.034424,-0.000732,0.512939,31.588821
59804258,-5.000000,0.548781,-0.975610,0.035156,0.000000,0.513916,31.588821
59805272,-5.000000,0.853659,-1.097561,0.038818,0.001221,0.514404,31.494705
59806302,-4.878049,0.731707,-1.158537,0.041748,-0.004150,0.508301,31.588821
59807339,-4.878049,0.609756,-1.158537,0.038330,-0.001221,0.521240,31.588821
59808373,-4.878049,0.731707,-0.914634,0.037598,-0.000977,0.514648,31.541763
59809437,-5.000000,0.792683,-1.097561,0.039307,-0.003906,0.506836,31.541763
59810467,-4.939024,0.670732,-1.219512,0.036865,-0.002441,0.511963,31.635881
59811517,-4.939024,0.548781,-0.975610,0.034912,-0.003418,0.504883,31.494705
59812568,-4.939024,0.487805,-0.914634,0.033936,-0.002441,0.503662,31.494705
59813616,-5.060976,0.670732,-0.914634,0.031494,-0.000977,0.504395,31.635881
59814649,-5.000000,0.792683,-1.219512,0.033447,-0.000977,0.515381,31.730000
59815690,-4.878049,0.548781,-1.219512,0.035889,-0.005127,0.512939,31.541763
59816715,-4.878049,0.548781,-1.097561,0.034424,-0.005371,0.515137,31.541763
59817751,-4.939024,0.731707,-1.097561,0.035156,-0.000488,0.506348,31.588821
59818784,-4.939024,0.792683,-1.280488,0.035889,0.000000,0.506104,31.682940
