AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MPUTempC,BaroTempC,PressurePa,RelAltM,Us
92,-77,2128,-168,16,-36,38.601,36.100,100626,-940.63,11168
75,-79,2120,-167,15,-34,38.665,36.100,100626,-940.63,492
94,-81,2116,-168,16,-35,38.589,36.100,100626,-940.63,476
81,-71,2132,-167,18,-36,38.639,36.100,100626,-940.63,471
85,-75,2127,-169,18,-36,38.642,36.000,100617,-939.86,11176
78,-54,2112,-169,19,-34,38.642,36.000,100617,-939.86,505
72,-72,2121,-168,19,-29,38.606,36.000,100617,-939.86,481
55,-84,2120,-168,16,-28,38.612,36.000,100617,-939.86,477
77,-75,2124,-171,23,-29,38.589,36.000,100617,-939.86,474
75,-85,2096,-171,13,-28,38.624,36.000,100614,-939.60,11173
81,-83,2150,-172,16,-24,38.609,36.000,100614,-939.60,499
80,-89,2131,-168,20,-32,38.604,36.000,100614,-939.60,483
68,-94,2132,-172,20,-28,38.604,36.000,100614,-939.60,477
67,-85,2151,-171,21,-28,38.606,36.000,100614,-939.60,473
74,-90,2139,-172,19,-31,38.615,36.000,100617,-939.86,11177
77,-86,2133,-169,17,-31,38.592,36.000,100617,-939.86,516
75,-77,2135,-171,19,-34,38.612,36.000,100617,-939.86,484
68,-62,2137,-170,19,-30,38.624,36.000,100617,-939.86,477
70,-74,2140,-169,19,-31,38.627,36.000,100617,-939.86,473
66,-81,2145,-166,15,-33,38.636,36.000,100629,-940.88,11173
66,-75,2132,-168,18,-33,38.589,36.000,100629,-940.88,495
83,-72,2127,-168,19,-37,38.604,36.000,100629,-940.88,482
65,-67,2129,-170,16,-35,38.606,36.000,100629,-940.88,477
70,-80,2139,-171,20,-36,38.615,36.000,100629,-940.88,473
82,-76,2139,-171,19,-31,38.624,36.000,100626,-940.63,11176
83,-64,2125,-169,16,-34,38.601,36.000,100626,-940.63,518
96,-78,2130,-170,21,-36,38.601,36.000,100626,-940.63,484
73,-73,2130,-169,16,-33,38.577,36.000,100626,-940.63,477
87,-71,2119,-169,20,-29,38.624,36.000,100626,-940.63,473
87,-89,2126,-171,21,-28,38.606,36.000,100626,-940.63,11173
79,-74,2128,-173,20,-33,38.601,36.000,100626,-940.63,512
83,-72,2130,-171,19,-30,38.633,36.000,100626,-940.63,483
80,-92,2127,-170,18,-31,38.630,36.000,100626,-940.63,477
72,-105,2123,-170,19,-34,38.586,36.000,100626,-940.63,473
66,-84,2126,-173,19,-34,38.621,36.000,100617,-939.86,11177
89,-91,2132,-169,16,-32,38.618,36.000,100617,-939.86,516
78,-83,2109,-167,15,-32,38.621,36.000,100617,-939.86,484
64,-79,2129,-170,22,-36,38.592,36.000,100617,-939.86,477
65,-72,2122,-168,20,-33,38.606,36.000,100617,-939.86,473
62,-87,2160,-169,18,-30,38.624,36.000,100620,-940.12,11173
65,-74,2130,-164,18,-31,38.604,36.000,100620,-940.12,499
76,-62,2128,-168,19,-33,38.606,36.000,100620,-940.12,483
73,-82,2111,-170,21,-29,38.609,36.000,100620,-940.12,477
80,-62,2127,-170,17,-30,38.598,36.000,100620,-940.12,473
82,-70,2129,-170,22,-33,38.589,36.000,100617,-939.86,11177
73,-93,2134,-164,12,-29,38.612,36.000,100617,-939.86,516
69,-87,2138,-170,21,-32,38.615,36.000,100617,-939.86,484
62,-89,2158,-166,19,-30,38.636,36.000,100617,-939.86,477
93,-74,2100,-169,19,-39,38.592,36.000,100617,-939.86,473
71,-87,2138,-172,20,-34,38.583,36.000,100620,-940.12,11173
79,-68,2114,-164,11,-31,38.639,36.000,100620,-940.12,512
71,-75,2142,-176,30,-37,38.580,36.000,100620,-940.12,483
89,-69,2142,-164,12,-35,38.595,36.000,100620,-940.12,477
73,-77,2148,-174,25,-34,38.604,36.000,100620,-940.12,473
86,-62,2127,-160,7,-31,38.606,36.000,100617,-939.86,11176
75,-84,2134,-176,29,-33,38.604,36.000,100617,-939.86,519
73,-87,2128,-160,4,-33,38.598,36.000,100617,-939.86,484
75,-85,2124,-178,30,-30,38.601,36.000,100617,-939.86,477
84,-89,2161,-157,6,-32,38.604,36.000,100617,-939.86,473
71,-82,2119,-177,30,-30,38.606,36.000,100623,-940.37,11173
66,-86,2137,-161,10,-33,38.574,36.000,100623,-940.37,515
66,-77,2110,-175,26,-31,38.598,36.000,100623,-940.37,482
80,-86,2142,-166,12,-34,38.615,36.000,100623,-940.37,477
74,-74,2121,-174,21,-31,38.609,36.000,100623,-940.37,473
75,-98,2119,-171,19,-35,38.606,36.000,100626,-940.63,11177
88,-79,2110,-170,17,-30,38.586,36.000,100626,-940.63,501
99,-70,2135,-173,22,-29,38.618,36.000,100626,-940.63,484
70,-77,2118,-166,20,-28,38.615,36.000,100626,-940.63,477
68,-94,2150,-171,17,-31,38.621,36.000,100626,-940.63,473
72,-67,2121,-165,16,-29,38.606,36.000,100620,-940.12,11173
67,-63,2116,-169,20,-30,38.595,36.000,100620,-940.12,514
83,-70,2102,-165,15,-31,38.580,36.000,100620,-940.12,483
83,-63,2127,-172,21,-28,38.574,36.000,100620,-940.12,476
75,-64,2121,-166,15,-32,38.589,36.000,100620,-940.12,473
62,-79,2125,-167,16,-35,38.571,36.000,100626,-940.63,11177
74,-77,2128,-170,15,-30,38.592,36.000,100626,-940.63,505
65,-87,2129,-173,18,-29,38.574,36.000,100626,-940.63,484
83,-73,2165,-166,15,-28,38.606,36.000,100626,-940.63,477
73,-91,2138,-172,21,-34,38.609,36.000,100626,-940.63,473
61,-79,2144,-167,11,-32,38.615,36.000,100626,-940.63,11172
79,-86,2144,-171,21,-34,38.615,36.000,100626,-940.63,499
63,-77,2134,-168,16,-32,38.577,36.000,100626,-940.63,482
77,-76,2114,-170,18,-32,38.612,36.000,100626,-940.63,477
76,-84,2139,-166,17,-30,38.577,36.000,100626,-940.63,473
64,-88,2128,-173,19,-32,38.595,36.000,100617,-939.86,11176
79,-84,2150,-170,15,-36,38.580,36.000,100617,-939.86,517
88,-81,2130,-172,24,-31,38.606,36.000,100617,-939.86,484
85,-77,2131,-166,14,-32,38.583,36.000,100617,-939.86,477
92,-87,2133,-170,19,-36,38.583,36.000,100617,-939.86,473
76,-75,2159,-167,16,-33,38.586,36.000,100629,-940.88,11173
73,-77,2116,-173,23,-32,38.612,36.000,100629,-940.88,513
75,-61,2135,-169,19,-39,38.595,36.000,100629,-940.88,482
87,-63,2123,-169,20,-33,38.595,36.000,100629,-940.88,477
74,-66,2173,-169,25,-35,38.589,36.000,100629,-940.88,473
59,-63,2119,-168,16,-34,38.598,36.000,100626,-940.63,11177
65,-74,2142,-164,16,-29,38.589,36.000,100626,-940.63,517
97,-77,2120,-167,13,-30,38.592,36.000,100626,-940.63,484
70,-84,2126,-182,39,-34,38.595,36.000,100626,-940.63,477
84,-58,2129,-158,-1,-31,38.583,36.000,100626,-940.63,473
65,-88,2135,-178,36,-29,38.621,36.000,100632,-941.14,11173
66,-68,2118,-157,5,-32,38.592,36.000,100632,-941.14,500
71,-84,2123,-178,32,-32,38.551,36.000,100632,-941.14,482
66,-83,2141,-165,12,-30,38.598,36.000,100632,-941.14,477
82,-64,2103,-173,23,-32,38.565,36.000,100632,-941.14,473
80,-82,2137,-164,12,-31,38.583,36.000,100626,-940.63,11176
91,-81,2124,-173,25,-27,38.583,36.000,100626,-940.63,503
90,-88,2139,-165,14,-29,38.589,36.000,100626,-940.63,484
82,-74,2119,-173,21,-30,38.598,36.000,100626,-940.63,477
82,-82,2151,-170,24,-29,38.609,36.000,100626,-940.63,473
92,-83,2137,-165,15,-30,38.592,36.000,100614,-939.60,11173
78,-83,2145,-176,32,-34,38.574,36.000,100614,-939.60,499
74,-73,2123,-161,5,-35,38.589,36.000,100614,-939.60,483
78,-84,2113,-177,30,-31,38.580,36.000,100614,-939.60,477
73,-78,2136,-160,12,-30,38.559,36.000,100614,-939.60,473
89,-65,2134,-174,22,-33,38.556,36.000,100617,-939.86,11177
82,-78,2138,-168,14,-35,38.580,36.000,100617,-939.86,516
76,-71,2132,-167,18,-32,38.568,36.000,100617,-939.86,484
59,-73,2161,-173,23,-31,38.589,36.000,100617,-939.86,477
78,-72,2126,-163,9,-34,38.583,36.000,100617,-939.86,473
80,-63,2115,-173,23,-32,38.609,36.000,100617,-939.86,11172
93,-70,2126,-166,14,-37,38.562,36.000,100617,-939.86,502
74,-82,2119,-174,23,-34,38.559,36.000,100617,-939.86,482
70,-89,2116,-167,11,-35,38.586,36.000,100617,-939.86,477
80,-83,2126,-172,25,-30,38.565,36.000,100617,-939.86,473
67,-78,2135,-168,14,-33,38.601,36.000,100626,-940.63,11176
73,-73,2119,-171,29,-29,38.580,36.000,100626,-940.63,517
77,-89,2128,-165,13,-31,38.568,36.000,100626,-940.63,484
82,-73,2113,-173,24,-31,38.556,36.000,100626,-940.63,477
66,-75,2152,-167,12,-31,38.530,36.000,100626,-940.63,473
74,-93,2138,-168,19,-30,38.577,36.000,100620,-940.12,11173
73,-96,2134,-164,10,-30,38.568,36.000,100620,-940.12,513
86,-74,2117,-169,20,-29,38.595,36.000,100620,-940.12,483
73,-96,2118,-168,19,-35,38.568,36.000,100620,-940.12,477
72,-84,2122,-169,20,-34,38.568,36.000,100620,-940.12,473
70,-70,2141,-168,15,-33,38.589,36.000,100617,-939.86,11177
89,-90,2109,-169,19,-34,38.604,36.000,100617,-939.86,503
75,-74,2153,-170,22,-30,38.565,36.000,100617,-939.86,484
76,-85,2136,-164,15,-38,38.539,36.000,100617,-939.86,477
66,-75,2120,-170,14,-31,38.580,36.000,100617,-939.86,473
69,-82,2116,-170,16,-27,38.565,36.000,100620,-940.12,11172
67,-73,2103,-169,24,-33,38.592,36.000,100620,-940.12,515
70,-72,2131,-170,15,-29,38.554,36.000,100620,-940.12,483
65,-80,2141,-171,18,-30,38.595,36.000,100620,-940.12,477
78,-80,2099,-167,18,-35,38.583,36.000,100620,-940.12,473
84,-77,2131,-170,22,-29,38.565,36.000,100623,-940.37,11177
91,-74,2127,-168,16,-33,38.536,36.000,100623,-940.37,500
63,-78,2143,-170,21,-35,38.554,36.000,100623,-940.37,484
76,-83,2139,-170,15,-32,38.606,36.000,100623,-940.37,476
68,-75,2123,-171,22,-37,38.583,36.000,100623,-940.37,473
93,-71,2112,-165,15,-30,38.559,35.900,100626,-940.63,11173
81,-88,2123,-168,22,-32,38.592,35.900,100626,-940.63,514
70,-78,2119,-168,16,-30,38.604,35.900,100626,-940.63,483
81,-70,2123,-166,16,-35,38.583,35.900,100626,-940.63,477
70,-69,2117,-174,18,-31,38.545,35.900,100626,-940.63,473
78,-85,2152,-168,18,-34,38.571,35.900,100629,-940.88,11177
77,-87,2125,-170,14,-32,38.562,35.900,100629,-940.88,515
57,-75,2123,-170,23,-31,38.589,35.900,100629,-940.88,484
75,-79,2120,-160,7,-36,38.556,35.900,100629,-940.88,477
64,-96,2140,-177,32,-27,38.554,35.900,100629,-940.88,473
59,-84,2139,-157,2,-33,38.568,35.900,100623,-940.37,11172
69,-82,2139,-182,40,-32,38.577,35.900,100623,-940.37,506
49,-79,2143,-159,3,-32,38.559,35.900,100623,-940.37,483
75,-70,2104,-184,41,-32,38.533,35.900,100623,-940.37,477
58,-81,2140,-157,5,-37,38.571,35.900,100623,-940.37,473
78,-65,2104,-174,22,-33,38.577,35.900,100620,-940.12,11177
57,-78,2131,-164,9,-31,38.571,35.900,100620,-940.12,502
81,-70,2112,-171,23,-34,38.589,35.900,100620,-940.12,484
67,-93,2143,-169,17,-32,38.556,35.900,100620,-940.12,477
96,-84,2112,-166,18,-33,38.568,35.900,100620,-940.12,473
67,-85,2136,-172,17,-28,38.595,35.900,100629,-940.88,11173
91,-82,2117,-174,18,-34,38.559,35.900,100629,-940.88,515
68,-68,2139,-174,20,-28,38.577,35.900,100629,-940.88,483
82,-68,2128,-166,18,-32,38.559,35.900,100629,-940.88,477
82,-92,2133,-174,25,-36,38.545,35.900,100629,-940.88,473
91,-73,2109,-169,15,-30,38.565,35.900,100620,-940.12,11177
75,-83,2140,-172,17,-32,38.565,35.900,100620,-940.12,502
86,-86,2129,-165,13,-34,38.592,35.900,100620,-940.12,484
78,-77,2123,-174,25,-30,38.568,35.900,100620,-940.12,477
83,-92,2130,-165,15,-31,38.592,35.900,100620,-940.12,473
76,-84,2144,-170,19,-26,38.551,35.900,100623,-940.37,11173
79,-82,2130,-169,18,-28,38.586,35.900,100623,-940.37,500
62,-83,2133,-166,25,-28,38.556,35.900,100623,-940.37,483
80,-79,2122,-169,19,-30,38.565,35.900,100623,-940.37,477
71,-80,2128,-172,21,-33,38.559,35.900,100623,-940.37,473
75,-78,2150,-167,11,-32,38.574,35.900,100623,-940.37,11177
65,-87,2130,-172,27,-30,38.583,35.900,100623,-940.37,501
72,-89,2139,-166,15,-33,38.571,35.900,100623,-940.37,484
76,-74,2132,-168,22,-30,38.559,35.900,100623,-940.37,477
87,-78,2132,-167,15,-33,38.559,35.900,100623,-940.37,473
98,-76,2140,-167,16,-35,38.580,35.900,100623,-940.37,11172
80,-73,2137,-170,17,-30,38.559,35.900,100623,-940.37,496
67,-69,2122,-171,21,-36,38.598,35.900,100623,-940.37,482
87,-71,2133,-165,10,-29,38.589,35.900,100623,-940.37,477
77,-72,2138,-175,30,-32,38.586,35.900,100623,-940.37,473
76,-76,2172,-166,10,-28,38.568,35.900,100620,-940.12,11176
81,-67,2103,-176,32,-31,38.601,35.900,100620,-940.12,517
64,-70,2151,-160,3,-34,38.592,35.900,100620,-940.12,484
92,-75,2109,-178,36,-28,38.577,35.900,100620,-940.12,477
76,-81,2162,-159,7,-32,38.583,35.900,100620,-940.12,473
100,-79,2117,-175,27,-29,38.559,35.900,100626,-940.63,11173
69,-88,2145,-161,9,-35,38.574,35.900,100626,-940.63,497
79,-75,2114,-171,24,-33,38.571,35.900,100626,-940.63,483
63,-87,2152,-171,21,-34,38.559,35.900,100626,-940.63,476
88,-70,2122,-167,13,-32,38.583,35.900,100626,-940.63,473
63,-90,2130,-170,20,-30,38.592,35.900,100623,-940.37,11177
82,-83,2106,-166,14,-36,38.580,35.900,100623,-940.37,502
68,-82,2143,-170,19,-34,38.586,35.900,100623,-940.37,484
72,-80,2135,-166,14,-35,38.571,35.900,100623,-940.37,477
92,-88,2134,-174,26,-34,38.589,35.900,100623,-940.37,473
80,-83,2125,-167,8,-36,38.604,35.900,100623,-940.37,11173
85,-82,2147,-169,19,-32,38.577,35.900,100623,-940.37,498
81,-83,2145,-168,17,-31,38.589,35.900,100623,-940.37,483
85,-64,2108,-168,17,-36,38.577,35.900,100623,-940.37,477
82,-73,2119,-170,18,-34,38.595,35.900,100623,-940.37,473
82,-61,2120,-172,22,-36,38.595,35.900,100629,-940.88,11177
81,-61,2124,-168,11,-30,38.606,35.900,100629,-940.88,518
83,-76,2128,-174,26,-32,38.577,35.900,100629,-940.88,484
64,-64,2138,-164,16,-32,38.592,35.900,100629,-940.88,477
76,-64,2134,-173,27,-31,38.574,35.900,100629,-940.88,473
90,-84,2117,-168,16,-30,38.577,35.900,100629,-940.88,11173
76,-84,2103,-173,25,-32,38.571,35.900,100629,-940.88,515
81,-79,2142,-165,11,-29,38.562,35.900,100629,-940.88,483
66,-94,2137,-173,22,-31,38.559,35.900,100629,-940.88,477
67,-77,2129,-167,14,-28,38.601,35.900,100629,-940.88,473
72,-79,2115,-171,20,-35,38.624,35.900,100635,-941.40,11177
71,-93,2139,-166,11,-24,38.606,35.900,100635,-941.40,516
72,-70,2127,-170,21,-31,38.583,35.900,100635,-941.40,484
64,-85,2129,-166,18,-33,38.580,35.900,100635,-941.40,477
82,-79,2126,-173,22,-31,38.586,35.900,100635,-941.40,473
80,-84,2151,-163,12,-34,38.586,35.900,100635,-941.40,11173
85,-76,2116,-171,23,-36,38.589,35.900,100635,-941.40,514
66,-74,2139,-168,13,-34,38.554,35.900,100635,-941.40,482
89,-60,2148,-170,18,-35,38.568,35.900,100635,-941.40,477
74,-85,2113,-170,15,-33,38.571,35.900,100635,-941.40,473
91,-62,2140,-170,17,-31,38.565,35.900,100629,-940.88,11177
81,-70,2117,-166,18,-31,38.589,35.900,100629,-940.88,501
93,-70,2136,-170,16,-30,38.589,35.900,100629,-940.88,484
75,-69,2149,-171,21,-32,38.583,35.900,100629,-940.88,477
91,-82,2135,-168,16,-33,38.568,35.900,100629,-940.88,473
78,-88,2132,-171,24,-32,38.577,35.900,100626,-940.63,11173
75,-76,2138,-167,20,-30,38.615,35.900,100626,-940.63,498
69,-79,2146,-170,25,-28,38.562,35.900,100626,-940.63,483
73,-70,2124,-166,21,-32,38.586,35.900,100626,-940.63,477
80,-83,2105,-172,23,-29,38.559,35.900,100626,-940.63,473
72,-75,2137,-169,16,-30,38.595,35.900,100626,-940.63,11176
68,-93,2135,-170,19,-30,38.556,35.900,100626,-940.63,507
61,-90,2116,-168,15,-34,38.571,35.900,100626,-940.63,484
73,-81,2139,-172,17,-35,38.568,35.900,100626,-940.63,477
78,-82,2130,-167,18,-37,38.574,35.900,100626,-940.63,473
71,-79,2137,-169,22,-32,38.595,35.900,100626,-940.63,11172
75,-86,2134,-169,14,-34,38.580,35.900,100626,-940.63,498
82,-82,2126,-165,15,-34,38.595,35.900,100626,-940.63,483
78,-67,2136,-167,16,-31,38.571,35.900,100626,-940.63,477
77,-69,2143,-169,20,-35,38.595,35.900,100626,-940.63,473
75,-78,2136,-166,15,-35,38.574,35.900,100623,-940.37,11177
78,-75,2128,-172,25,-34,38.583,35.900,100623,-940.37,504
78,-75,2142,-168,12,-34,38.595,35.900,100623,-940.37,484
81,-79,2152,-174,24,-31,38.580,35.900,100623,-940.37,477
83,-72,2152,-165,13,-31,38.592,35.900,100623,-940.37,473
